District_en,District_vn,OSM_id
District_1,Quận 1,2587287
District_3,Quận 3,3819816
District_4,Quận 4,2778323
District_5,Quận 5,3820432
District_6,Quận 6,6228792
District_7,Quận 7,2764875
District_8,Quận 8,6888445
District_10,Quận 10,6228121
District_11,Quận 11,6846181
District_12,Quận 12,6923167
Binh_Tan_District,Bình Tân,6909710
Binh_Thanh_District,Bình Thạnh,3797166
Go_Vap_District,Gò Vấp,6908316
Phu_Nhuan_District,Phú Nhuận,3851694
Tan_Binh_District,Tân Bình,6846177
Tan_Phu_District,Tân Phú,6846128
Thu_Duc_City,Thủ Đức,11721235
Binh_Chanh_District,Bình Chánh,7157268
Can_Gio_District,Cần Giờ,7157255
Cu_Chi_District,Củ Chi,7157220
Hoc_Mon_District,Hóc Môn,7157219
Nha_Be_District,Nhà Bè,7157197